"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
166,"DD","DuPont de Nemours Inc","Basic Materials","Specialty Chemicals","USA",18183.53,,43.81,0.94%,2851154
167,"DHI","D.R. Horton Inc","Consumer Cyclical","Residential Construction","USA",42611.63,13.56,157.28,7.80%,7314201
168,"DHR","Danaher Corp","Healthcare","Diagnostics & Research","USA",165992.14,49.06,238.37,1.43%,2536134
169,"DINO","HF Sinclair Corp","Energy","Oil & Gas Refining & Marketing","USA",9307.78,24.20,50.30,-0.59%,3887383
170,"DKS","Dicks Sporting Goods, Inc","Consumer Cyclical","Specialty Retail","USA",19450.46,17.38,216.19,-0.22%,1518013
171,"DLO","DLocal Limited","Technology","Software - Infrastructure","USA",4300.07,28.23,14.33,-1.78%,747075
172,"DLTR","Dollar Tree Inc","Consumer Defensive","Discount Stores","USA",26171.07,,132.38,0.59%,2547196
173,"DNLI","Denali Therapeutics Inc","Healthcare","Biotechnology","USA",2665.62,,17.08,0.06%,987124
174,"DOCN","DigitalOcean Holdings Inc","Technology","Software - Infrastructure","USA",4800.59,21.59,53.20,1.39%,1434967
175,"DOV","Dover Corp","Industrials","Specialty Industrial Machinery","USA",27703.58,12.41,201.89,-0.05%,993121
176,"DVN","Devon Energy Corp","Energy","Oil & Gas E&P","USA",22639.26,8.41,35.76,-0.91%,5678249
177,"DX","Dynex Capital, Inc","Real Estate","REIT - Mortgage","USA",2043.76,9.44,13.98,0.43%,12469675
178,"DYN","Dyne Therapeutics Inc","Healthcare","Biotechnology","USA",2954.56,,17.77,-2.68%,1321583
179,"EA","Electronic Arts, Inc","Communication Services","Electronic Gaming & Multimedia","USA",51046.66,59.66,204.10,-0.06%,1251774
180,"EBAY","EBay Inc","Consumer Cyclical","Internet Retail","USA",41077.76,19.78,90.91,0.03%,3486160
181,"EBC","Eastern Bankshares Inc","Financial","Banks - Regional","USA",4633.09,78.55,19.44,0.05%,1733744
182,"EC","Ecopetrol SA ADR","Energy","Oil & Gas Integrated","Colombia",22346.98,8.24,10.87,1.12%,1897916
183,"EGO","Eldorado Gold Corp","Basic Materials","Gold","Canada",7675.14,21.23,38.28,0.95%,1153966
184,"EIX","Edison International","Utilities","Utilities - Regulated Electric","USA",22937.16,7.99,60.99,2.32%,2581028
185,"EL","Estee Lauder Cos., Inc","Consumer Defensive","Household & Personal Products","USA",40983.77,,113.73,3.14%,3804582
186,"ELAN","Elanco Animal Health Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",11547.11,321.95,23.47,0.99%,2864710
187,"EMR","Emerson Electric Co","Industrials","Specialty Industrial Machinery","USA",80814.93,35.64,144.20,0.24%,2509467
188,"ENTG","Entegris Inc","Technology","Semiconductor Equipment & Materials","USA",15137.26,54.28,102.99,3.14%,3185094
189,"EOSE","Eos Energy Enterprises Inc","Industrials","Electrical Equipment & Parts","USA",4543.86,,15.28,8.99%,23201485
190,"EPD","Enterprise Products Partners L P","Energy","Oil & Gas Midstream","USA",69312.81,12.13,32.04,0.56%,2788708
191,"EQX","Equinox Gold Corp","Basic Materials","Gold","Canada",11112.48,269.71,14.16,-3.28%,11085556
192,"ERO","Ero Copper Corp","Basic Materials","Copper","Canada",3040.86,22.10,29.27,0.62%,1262373
193,"ES","Eversource Energy","Utilities","Utilities - Regulated Electric","USA",25370.29,18.63,67.79,0.25%,2003372
194,"ESI","Element Solutions Inc","Basic Materials","Specialty Chemicals","USA",6669.52,28.43,28.05,1.78%,2290929
195,"ETR","Entergy Corp","Utilities","Utilities - Regulated Electric","USA",40725.17,23.08,93.52,2.56%,2848578
196,"EVRG","Evergy Inc","Utilities","Utilities - Regulated Electric","USA",16791.82,19.98,72.82,-0.16%,2219456
197,"EW","Edwards Lifesciences Corp","Healthcare","Medical Devices","USA",49081.77,36.24,85.13,0.65%,3383855
198,"EXAS","Exact Sciences Corp","Healthcare","Diagnostics & Research","USA",19392.41,,102.11,0.32%,1566748
199,"EXK","Endeavour Silver Corp","Basic Materials","Silver","Canada",3124.19,,10.62,8.59%,18294978
200,"EXPD","Expeditors International Of Washington, Inc","Industrials","Integrated Freight & Logistics","USA",21195.41,25.86,158.89,0.47%,1394887
201,"EXPE","Expedia Group Inc","Consumer Cyclical","Travel Services","USA",36310.06,28.35,296.33,-1.65%,1144336
202,"EYE","National Vision Holdings Inc","Consumer Cyclical","Specialty Retail","USA",2116.77,,26.34,-1.31%,1112584
203,"F","Ford Motor Co","Consumer Cyclical","Auto Manufacturers","USA",56581.98,12.18,14.20,-1.39%,68436178
204,"FANG","Diamondback Energy Inc","Energy","Oil & Gas E&P","USA",42308.38,10.25,147.41,-0.17%,1899270
205,"FCX","Freeport-McMoRan Inc","Basic Materials","Copper","USA",77856.16,39.75,56.53,4.26%,19272707
206,"FDX","Fedex Corp","Industrials","Integrated Freight & Logistics","USA",72655.30,17.23,312.36,1.08%,2242194
207,"FE","Firstenergy Corp","Utilities","Utilities - Regulated Electric","USA",25815.87,19.40,44.65,-0.09%,4114132
208,"FERG","Ferguson Enterprises Inc","Industrials","Industrial Distribution","USA",44862.15,24.14,238.86,4.11%,1696412
209,"FHB","First Hawaiian INC","Financial","Banks - Regional","USA",3361.46,13.14,26.91,-0.96%,2181615
210,"FHN","First Horizon Corporation","Financial","Banks - Regional","USA",12186.75,14.81,24.47,-1.13%,4679835
211,"FIBK","First Interstate BancSystem Inc","Financial","Banks - Regional","USA",3828.56,15.68,37.21,-0.83%,629164
212,"FITB","Fifth Third Bancorp","Financial","Banks - Regional","USA",32933.25,14.73,49.27,-1.10%,6979527
213,"FIVE","Five Below Inc","Consumer Cyclical","Specialty Retail","USA",10921.65,35.12,195.57,-1.23%,1873566
214,"FLEX","Flex Ltd","Technology","Electronic Components","USA",22327.94,27.14,61.50,1.85%,2761237
215,"FLG","Flagstar Bank NA","Financial","Banks - Regional","USA",5458.87,,13.04,-0.69%,6177729
216,"FLNC","Fluence Energy Inc","Utilities","Utilities - Renewable","USA",3873.16,,23.20,9.54%,4351587
217,"FLR","Fluor Corporation","Industrials","Engineering & Construction","USA",7001.77,2.25,44.29,1.96%,2737548
218,"FLS","Flowserve Corp","Industrials","Specialty Industrial Machinery","USA",9119.27,21.37,73.47,2.41%,1435515
219,"FNB","F.N.B. Corp","Financial","Banks - Regional","USA",6306.79,12.55,17.56,-0.28%,4927673
220,"FORM","FormFactor Inc","Technology","Semiconductor Equipment & Materials","USA",5001.40,130.69,68.64,6.39%,990326
221,"FOX","Fox Corporation","Communication Services","Entertainment","USA",31684.40,14.95,66.42,-1.67%,1333724
222,"FOXA","Fox Corporation","Communication Services","Entertainment","USA",31684.40,16.58,73.68,-2.66%,2408688
223,"FROG","JFrog Ltd","Technology","Software - Application","USA",7108.24,,59.27,-1.35%,1162796
